v_gal,v_out,lognh,x,y
60,100.0,20.0625,-962.987483327,0.0
60,100.0,20.0625,-936.076898816,0.0
60,100.0,20.0625,-909.171126292,0.0
60,100.0,20.0625,-882.270164462,0.0
60,100.0,20.0625,-855.374012038,0.0
60,100.0,20.0625,-828.482667729,0.0
60,100.0,20.0625,-801.596130246,0.0
60,100.0,20.0625,-774.714398301,0.0
60,100.0,20.0625,-747.837470606,0.0
60,100.0,20.0625,-720.965345872,0.0
60,100.0,20.0625,-694.098022812,0.0
60,100.0,20.0625,-667.235500139,0.0
60,100.0,20.0625,-640.377776568,0.0
60,100.0,20.0625,-613.524850812,0.0
60,100.0,20.0625,-586.676721585,0.0
60,100.0,20.0625,-559.833387602,0.0
60,100.0,20.0625,-532.99484758,0.0
60,100.0,20.0625,-506.161100233,0.0
60,100.0,20.0625,-479.332144278,0.0
60,100.0,20.0625,-452.507978432,0.0
60,100.0,20.0625,-425.688601413,0.0
60,100.0,20.0625,-398.874011937,0.0
60,100.0,20.0625,-372.064208724,0.0
60,100.0,20.0625,-345.259190491,0.0
60,100.0,20.0625,-318.458955957,0.0
60,100.0,20.0625,-291.663503844,0.0
60,100.0,20.0625,-264.872832869,0.0
60,100.0,20.0625,-238.086941754,0.0
60,100.0,20.0625,-211.30582922,0.0
60,100.0,20.0625,-184.529493988,0.0
60,100.0,20.0625,-157.75793478,0.0
60,100.0,20.0625,-130.991150319,0.0
60,100.0,20.0625,-104.229139326,0.0
60,100.0,20.0625,-77.4719005248,0.0
60,100.0,20.0625,-50.7194326398,0.0
60,100.0,20.0625,-23.9717343946,2800.61677925
60,100.0,20.0625,2.77119548608,2238.46261286
60,100.0,20.0625,29.5093582773,1408.60529649
60,100.0,20.0625,56.2427552537,887.029211153
60,100.0,20.0625,82.9713876892,428.983289958
60,100.0,20.0625,109.695256857,511.989315748
60,100.0,20.0625,136.414364032,0.0
60,100.0,20.0625,163.128710485,0.0
60,100.0,20.0625,189.838297488,0.0
60,100.0,20.0625,216.543126315,1.21193366528
60,100.0,20.0625,243.243198235,86.576331118
60,100.0,20.0625,269.938514521,39.3071916384
60,100.0,20.0625,296.629076442,453.050111545
60,100.0,20.0625,323.314885269,171.653302233
60,100.0,20.0625,349.99594227,169.613990317
60,100.0,20.0625,376.672248715,553.31392444
60,100.0,20.0625,403.343805874,469.622654452
60,100.0,20.0625,430.010615013,450.118580411
60,100.0,20.0625,456.6726774,416.674467978
60,100.0,20.0625,483.329994304,350.518247294
60,100.0,20.0625,509.98256699,420.284511309
60,100.0,20.0625,536.630396726,277.364400899
60,100.0,20.0625,563.273484776,185.255550126
60,100.0,20.0625,589.911832407,139.774738405
60,100.0,20.0625,616.545440884,0.0
60,100.0,20.0625,643.174311471,0.0
60,100.0,20.0625,669.798445432,18.6716010574
60,100.0,20.0625,696.417844031,62.4136623382
60,100.0,20.0625,723.032508531,0.0
60,100.0,20.0625,749.642440196,0.0
60,100.0,20.0625,776.247640286,0.0
60,100.0,20.0625,802.848110065,0.0
60,100.0,20.0625,829.443850794,0.0
60,100.0,20.0625,856.034863733,0.0
60,100.0,20.0625,882.621150143,0.0
60,100.0,20.0625,909.202711285,0.0
60,100.0,20.0625,935.779548418,0.0
60,100.0,20.0625,962.3516628,0.0
60,100.0,20.0625,988.919055692,0.0
60,100.0,20.0625,1015.48172835,0.0
60,100.0,20.0625,1042.03968203,0.0
60,100.0,20.0625,1068.592918,0.0
60,100.0,20.0625,1095.14143751,0.0
60,100.0,20.0625,1121.68524181,0.0
60,100.0,20.0625,1148.22433216,0.0
