-50.000000 0.000000
-49.000000 0.000000
-48.000000 0.000000
-47.000000 0.000000
-46.000000 0.000000
-45.000000 0.000001
-44.000000 0.000013
-43.000000 0.000116
-42.000000 0.000430
-41.000000 0.000869
-40.000000 0.001267
-39.000000 0.001571
-38.000000 0.001814
-37.000000 0.002073
-36.000000 0.002457
-35.000000 0.003016
-34.000000 0.003606
-33.000000 0.004079
-32.000000 0.004459
-31.000000 0.004786
-30.000000 0.005076
-29.000000 0.005338
-28.000000 0.005578
-27.000000 0.005799
-26.000000 0.006003
-25.000000 0.006193
-24.000000 0.006369
-23.000000 0.006533
-22.000000 0.006686
-21.000000 0.006829
-20.000000 0.006962
-19.000000 0.007087
-18.000000 0.007203
-17.000000 0.007311
-16.000000 0.007411
-15.000000 0.007504
-14.000000 0.007590
-13.000000 0.007668
-12.000000 0.007741
-11.000000 0.007807
-10.000000 0.007867
-9.000000 0.007920
-8.000000 0.007968
-7.000000 0.008010
-6.000000 0.008046
-5.000000 0.008076
-4.000000 0.008101
-3.000000 0.008120
-2.000000 0.008134
-1.000000 0.008142
0.000000 0.008145
1.000000 0.008142
2.000000 0.008134
3.000000 0.008120
4.000000 0.008101
5.000000 0.008076
6.000000 0.008046
7.000000 0.008010
8.000000 0.007968
9.000000 0.007920
10.000000 0.007867
11.000000 0.007807
12.000000 0.007741
13.000000 0.007668
14.000000 0.007590
15.000000 0.007504
16.000000 0.007411
17.000000 0.007311
18.000000 0.007203
19.000000 0.007087
20.000000 0.006962
21.000000 0.006829
22.000000 0.006686
23.000000 0.006533
24.000000 0.006369
25.000000 0.006193
26.000000 0.006003
27.000000 0.005799
28.000000 0.005578
29.000000 0.005338
30.000000 0.005076
31.000000 0.004786
32.000000 0.004459
33.000000 0.004079
34.000000 0.003606
35.000000 0.003016
36.000000 0.002457
37.000000 0.002073
38.000000 0.001814
39.000000 0.001571
40.000000 0.001267
41.000000 0.000869
42.000000 0.000430
43.000000 0.000116
44.000000 0.000013
45.000000 0.000001
46.000000 0.000000
47.000000 0.000000
48.000000 0.000000
49.000000 0.000000
